#lakeno iconn k i j claktype bedleak belev telev connlen connwidth
1 311 1 35 37 vertical 0.025 0.0 0.0 0.0 0.0
1 312 1 38 33 vertical 0.045 0.0 0.0 0.0 0.0
1 313 1 35 46 vertical 0.025 0.0 0.0 0.0 0.0
1 314 1 38 42 vertical 0.025 0.0 0.0 0.0 0.0
1 315 1 39 25 vertical 0.045 0.0 0.0 0.0 0.0
1 316 1 27 41 vertical 0.045 0.0 0.0 0.0 0.0
1 317 1 39 43 vertical 0.025 0.0 0.0 0.0 0.0
1 318 1 28 33 vertical 0.025 0.0 0.0 0.0 0.0
1 319 1 31 29 vertical 0.025 0.0 0.0 0.0 0.0
1 320 1 31 38 vertical 0.025 0.0 0.0 0.0 0.0
1 321 1 42 44 vertical 0.045 0.0 0.0 0.0 0.0
1 322 1 34 40 vertical 0.025 0.0 0.0 0.0 0.0
1 323 1 34 49 vertical 0.025 0.0 0.0 0.0 0.0
1 324 1 26 45 vertical 0.025 0.0 0.0 0.0 0.0
1 325 1 35 32 vertical 0.025 0.0 0.0 0.0 0.0
1 326 1 38 28 vertical 0.025 0.0 0.0 0.0 0.0
1 327 1 35 41 vertical 0.025 0.0 0.0 0.0 0.0
1 328 1 38 37 vertical 0.025 0.0 0.0 0.0 0.0
1 329 1 35 50 vertical 0.045 0.0 0.0 0.0 0.0
1 330 1 38 46 vertical 0.025 0.0 0.0 0.0 0.0
1 331 1 39 29 vertical 0.025 0.0 0.0 0.0 0.0
1 332 1 27 36 vertical 0.025 0.0 0.0 0.0 0.0
1 333 1 39 38 vertical 0.045 0.0 0.0 0.0 0.0
1 334 1 27 45 vertical 0.025 0.0 0.0 0.0 0.0
1 335 1 28 28 vertical 0.045 0.0 0.0 0.0 0.0
1 336 1 30 47 vertical 0.025 0.0 0.0 0.0 0.0
1 337 1 41 47 vertical 0.045 0.0 0.0 0.0 0.0
1 338 1 31 33 vertical 0.025 0.0 0.0 0.0 0.0
1 339 1 42 30 vertical 0.025 0.0 0.0 0.0 0.0
1 340 1 34 35 vertical 0.025 0.0 0.0 0.0 0.0
1 341 1 34 44 vertical 0.025 0.0 0.0 0.0 0.0
1 342 1 35 36 vertical 0.025 0.0 0.0 0.0 0.0
1 343 1 38 32 vertical 0.025 0.0 0.0 0.0 0.0
1 344 1 35 45 vertical 0.025 0.0 0.0 0.0 0.0
1 345 1 38 41 vertical 0.025 0.0 0.0 0.0 0.0
