#k i j head boundname
3 60 31 300.607 perimeter-heads
3 60 32 300.424 perimeter-heads
3 60 33 300.24 perimeter-heads
3 60 34 300.047 perimeter-heads
3 60 35 299.854 perimeter-heads
3 60 36 299.678 perimeter-heads
3 60 37 299.502 perimeter-heads
3 60 38 299.326 perimeter-heads
3 60 39 299.115 perimeter-heads
3 60 40 298.904 perimeter-heads
3 60 41 298.721 perimeter-heads
3 60 42 298.539 perimeter-heads
3 60 43 298.357 perimeter-heads
3 60 44 298.157 perimeter-heads
3 60 45 297.957 perimeter-heads
3 60 46 297.757 perimeter-heads
3 60 47 297.522 perimeter-heads
3 60 48 297.287 perimeter-heads
3 60 49 297.079 perimeter-heads
3 60 50 296.871 perimeter-heads
3 60 51 296.676 perimeter-heads
3 60 52 296.48 perimeter-heads
3 60 53 296.285 perimeter-heads
3 60 54 296.124 perimeter-heads
3 60 55 295.963 perimeter-heads
3 60 56 295.802 perimeter-heads
3 60 57 295.678 perimeter-heads
3 60 58 295.553 perimeter-heads
3 60 59 295.42 perimeter-heads
3 60 60 295.287 perimeter-heads
3 60 61 295.132 perimeter-heads
3 60 62 294.977 perimeter-heads
3 60 63 294.821 perimeter-heads
3 60 64 294.643 perimeter-heads
3 60 65 294.464 perimeter-heads
3 60 66 294.286 perimeter-heads
3 60 67 294.133 perimeter-heads
3 60 68 293.98 perimeter-heads
3 60 69 293.797 perimeter-heads
3 1 2 309.899 perimeter-heads
3 1 3 309.8 perimeter-heads
3 1 4 309.69 perimeter-heads
3 1 5 309.58 perimeter-heads
3 1 6 309.47 perimeter-heads
3 1 7 309.364 perimeter-heads
3 1 8 309.258 perimeter-heads
3 1 9 309.139 perimeter-heads
3 1 10 309.019 perimeter-heads
3 1 11 308.899 perimeter-heads
3 1 12 308.782 perimeter-heads
3 1 13 308.665 perimeter-heads
3 1 14 308.538 perimeter-heads
3 1 15 308.411 perimeter-heads
3 1 16 308.28 perimeter-heads
3 1 17 308.149 perimeter-heads
3 1 18 308.018 perimeter-heads
3 1 19 307.873 perimeter-heads
3 1 20 307.727 perimeter-heads
3 1 21 307.582 perimeter-heads
